listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,type_condos,type_farm,type_multi_family,type_single_family,type_townhome
13.50685132872652,2500.0,2.0,3.0,3.0,2.0,2.0,2.0,2025.0,0.0,0.0,0.0,1.0,0.0
12.765691290604371,1804.0,2.0,3.0,2.0,2.0,2.0,1.0,1946.0,0.0,0.0,0.0,1.0,0.0
13.0917000253722,2066.0,1.0,3.0,2.0,2.0,2.0,2.0,1964.0,0.0,0.0,0.0,1.0,0.0
12.983103608918753,2436.0,3.0,3.0,2.0,2.0,2.0,1.0,1938.0,0.0,0.0,0.0,1.0,0.0
12.015523333397592,859.0,1.0,2.0,1.0,1.0,1.0,1.0,1958.0,0.0,0.0,0.0,1.0,0.0
13.70903942580019,2200.0,2.0,3.0,4.0,3.0,3.0,3.0,1993.0,0.0,0.0,0.0,1.0,0.0
12.896719202134523,1128.0,1.0,3.0,2.0,2.0,2.0,1.0,1978.0,0.0,0.0,0.0,1.0,0.0
13.367661298303675,1706.0,1.0,4.0,2.0,2.0,2.0,,1948.0,0.0,0.0,0.0,1.0,0.0
13.26212705890841,2244.0,3.0,4.0,3.0,3.0,3.0,2.0,1978.0,0.0,0.0,0.0,1.0,0.0
11.951186847493476,1892.0,1.0,3.0,1.0,1.0,1.0,2.0,1900.0,0.0,0.0,0.0,1.0,0.0
12.502470376049185,2368.0,2.0,3.0,1.0,1.0,1.0,,1987.0,0.0,0.0,0.0,1.0,0.0
12.225880174775122,900.0,1.0,3.0,2.0,2.0,2.0,,1949.0,0.0,0.0,0.0,0.0,1.0
12.206077645517674,1037.0,1.0,2.0,1.0,1.0,1.0,,1947.0,0.0,0.0,0.0,1.0,0.0
13.112315061750808,1704.0,1.0,3.0,2.0,2.0,2.0,2.0,1999.0,0.0,0.0,0.0,1.0,0.0
13.017005083966255,1424.0,1.0,3.0,2.0,2.0,2.0,2.0,1975.0,0.0,0.0,0.0,1.0,0.0
13.686541314323094,2390.0,3.0,4.0,3.0,3.0,3.0,2.0,1970.0,0.0,0.0,0.0,1.0,0.0
13.704580114574805,1491.0,1.0,3.0,2.0,2.0,2.0,,1956.0,0.0,0.0,0.0,1.0,0.0
13.451668563394815,2688.0,2.0,3.0,3.0,3.0,3.0,,1971.0,0.0,0.0,0.0,1.0,0.0
12.923914877701906,1806.0,2.0,2.0,3.0,2.0,2.0,2.0,2008.0,0.0,0.0,0.0,1.0,0.0
11.976665770490767,576.0,1.0,1.0,1.0,1.0,1.0,,1955.0,0.0,0.0,0.0,1.0,0.0
13.005831808336863,1920.0,2.0,4.0,3.0,3.0,3.0,,1938.0,0.0,0.0,0.0,1.0,0.0
11.884495917930655,1125.0,2.0,2.0,1.0,1.0,1.0,2.0,1946.0,0.0,0.0,0.0,1.0,0.0
12.959846800844963,3106.0,2.0,5.0,3.0,3.0,3.0,1.0,1910.0,0.0,0.0,0.0,1.0,0.0
13.615840583835682,3372.0,2.0,5.0,3.0,3.0,3.0,4.0,1984.0,0.0,0.0,0.0,1.0,0.0
13.560619598657233,2020.0,1.0,3.0,2.0,2.0,2.0,2.0,2006.0,0.0,0.0,0.0,1.0,0.0
13.036807667689546,2008.0,2.0,3.0,2.0,2.0,2.0,2.0,1976.0,0.0,0.0,0.0,1.0,0.0
13.493928313146206,1860.0,3.0,3.0,3.0,3.0,3.0,1.0,1924.0,0.0,0.0,0.0,1.0,0.0
12.506180941677357,1048.0,1.0,2.0,1.0,1.0,1.0,,1938.0,0.0,0.0,0.0,1.0,0.0
12.201065128819632,1619.0,2.0,2.0,1.0,1.0,1.0,1.0,1910.0,0.0,0.0,0.0,1.0,0.0
13.663525365110068,3246.0,2.0,3.0,3.0,2.0,2.0,2.0,1998.0,0.0,0.0,0.0,1.0,0.0
13.493928313146206,2240.0,1.0,3.0,2.0,2.0,2.0,4.0,1976.0,0.0,0.0,0.0,1.0,0.0
13.552847548877052,2321.0,3.0,3.0,1.0,1.0,1.0,1.0,1922.0,0.0,0.0,0.0,1.0,0.0
13.304686600863562,3049.0,1.0,3.0,3.0,3.0,3.0,2.0,1978.0,0.0,0.0,0.0,1.0,0.0
12.948012371209098,1436.0,1.0,3.0,2.0,2.0,2.0,2.0,1979.0,0.0,0.0,0.0,1.0,0.0
12.201065128819632,864.0,1.0,4.0,2.0,2.0,2.0,,1964.0,0.0,0.0,0.0,1.0,0.0
